City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,kamenka,51.3223,42.7678,-14.29,93,57,2.97,RU,1675713591
224,upernavik,72.7868,-56.1549,-23.24,93,100,4.12,GL,1675713591
225,east london,-33.0153,27.9116,24.5,84,0,8.4,ZA,1675713591
226,rincon,32.296,-81.2354,19.98,37,0,0.89,US,1675713592
227,portland,45.5234,-122.6762,9.99,84,75,5.66,US,1675713135
228,inirida,3.8653,-67.9239,29.64,67,61,0.28,CO,1675713592
229,znamenskoye,57.1281,73.8282,-17.3,100,100,1.23,RU,1675713593
230,pacific grove,36.6177,-121.9166,14.66,69,0,4.02,US,1675713565
231,middle island,40.8843,-72.9373,11.06,58,0,9.77,US,1675713593
232,haines junction,60.7522,-137.5108,0.97,37,64,6.17,CA,1675713594
233,menongue,-14.6585,17.691,17.79,82,100,1.77,AO,1675713594
234,kolokani,13.5728,-8.0339,28.55,12,99,4.03,ML,1675713595
235,fortuna,40.5982,-124.1573,11.07,74,0,3.6,US,1675713069
236,sabang,5.8933,95.3214,26.34,79,84,2.79,ID,1675713595
237,padang,-0.9492,100.3543,24.95,80,100,1.78,ID,1675713596
238,martapura,-3.4167,114.85,24.05,100,100,2.57,ID,1675713596
239,vila velha,-20.3297,-40.2925,28.97,79,40,3.09,BR,1675713469
240,plettenberg bay,-34.0527,23.3716,21.06,97,90,0.27,ZA,1675713597
241,mitsamiouli,-11.3847,43.2844,27.11,83,99,4.82,KM,1675713598
242,sao filipe,14.8961,-24.4956,20.72,61,7,7.69,CV,1675713598
243,gorontalo,0.5412,123.0595,23.86,88,100,1.38,ID,1675713347
244,lagunas,-5.2269,-75.6753,30.39,55,100,1.36,PE,1675713599
245,saint-francois,46.4154,3.9054,4.69,65,100,4.63,FR,1675713599
246,tongliao,43.6125,122.2653,-10.99,65,91,2.84,CN,1675713599
247,cururupu,-1.8283,-44.8683,26.41,85,100,2.42,BR,1675713333
248,kerman,30.2832,57.0788,13.92,23,0,6.17,IR,1675713600
249,ranong,9.9658,98.6348,23.17,89,64,2.09,TH,1675713600
250,klaksvik,62.2266,-6.589,6.51,91,100,9.54,FO,1675713601
251,marrakesh,31.6315,-8.0083,17.04,29,40,2.06,MA,1675713602
252,dhana,23.75,78.85,17.96,35,0,2.23,IN,1675713603
253,belyy yar,53.6039,91.3903,-23.97,81,40,0.0,RU,1675713607
254,xining,36.6167,101.7667,-3.96,46,100,1.07,CN,1675713610
255,kambove,-10.8764,26.5969,15.68,95,83,1.75,CD,1675713610
256,bemidji,47.4736,-94.8803,3.83,74,100,7.2,US,1675713609
257,grootfontein,-19.5667,18.1167,23.76,69,99,1.54,NA,1675713611
258,ginda,30.6945,78.4932,4.24,53,5,3.81,IN,1675713612
259,lorengau,-2.0226,147.2712,25.87,90,100,4.99,PG,1675713612
260,ouallam,14.3188,2.0866,29.34,13,100,3.81,NE,1675713612
261,safaga,26.7292,33.9365,14.58,34,62,4.55,EG,1675713614
262,betanzos,43.2804,-8.2147,10.61,65,0,2.57,ES,1675713614
263,vostok,46.4856,135.8833,-20.57,98,100,2.16,RU,1675713615
264,emerald,-23.5333,148.1667,23.52,93,37,3.35,AU,1675713615
265,roald,62.5833,6.1333,9.51,71,75,8.75,NO,1675713616
266,say,13.1007,2.3689,32.31,12,100,4.3,NE,1675713616
267,srednekolymsk,67.45,153.6833,-39.16,100,100,2.99,RU,1675713617
268,eureka,40.8021,-124.1637,11.78,78,99,1.34,US,1675713609
269,birao,10.2849,22.7882,25.68,12,84,2.82,CF,1675713618
270,mogok,22.9167,96.5,12.26,40,0,1.39,MM,1675713619
271,tocopilla,-22.092,-70.1979,23.8,75,39,3.07,CL,1675713619
272,mount gambier,-37.8333,140.7667,11.99,93,10,2.09,AU,1675713620
273,pangnirtung,66.1451,-65.7125,-35.0,68,20,1.03,CA,1675713621
274,riyadh,24.6877,46.7219,23.08,38,28,4.68,SA,1675713527
275,gwanda,-20.9333,29.0,22.62,45,6,2.67,ZW,1675713623
276,kurchum,48.5722,83.6542,-10.8,97,99,1.1,KZ,1675713623
277,fairbanks,64.8378,-147.7164,-13.28,78,40,0.0,US,1675713386
278,kruisfontein,-34.0033,24.7314,22.71,91,76,0.63,ZA,1675713624
279,husavik,66.0449,-17.3389,-1.2,77,75,6.21,IS,1675713624
280,portobelo,9.55,-79.65,26.73,82,36,5.87,PA,1675713625
281,clyde river,70.4692,-68.5914,-32.87,68,20,2.06,CA,1675713626
282,davlekanovo,54.2215,55.0343,-12.14,98,100,0.96,RU,1675713626
283,vanimo,-2.6741,141.3028,24.8,90,100,1.98,PG,1675713627
284,maharajganj,27.1333,83.5667,12.09,60,0,1.93,IN,1675713316
285,beaufort,5.3473,115.7455,23.12,95,78,1.28,MY,1675713627
286,vardo,70.3705,31.1107,-1.01,100,75,16.46,NO,1675713628
287,andenes,69.3143,16.1194,7.18,87,75,14.4,NO,1675713629
288,redcliffe,-27.2307,153.0973,22.16,83,20,3.09,AU,1675713629
289,souillac,-20.5167,57.5167,26.21,83,40,3.09,MU,1675713629
290,sinegorskiy,48.0139,40.8447,-6.83,87,100,6.2,RU,1675713630
291,healdsburg,38.6105,-122.8692,15.69,59,20,2.57,US,1675713630
292,holbaek,55.7167,11.7167,-0.02,100,4,1.34,DK,1675713631
293,sitka,57.0531,-135.33,2.94,87,100,2.57,US,1675713631
294,kayerkan,69.3497,87.7602,-23.6,83,100,1.81,RU,1675713631
295,lubango,-14.9172,13.4925,15.09,92,94,1.36,AO,1675713632
296,cocobeach,1.0002,9.5823,27.0,82,99,4.22,GA,1675713633
297,dukat,62.55,155.55,-39.87,100,83,1.95,RU,1675713633
298,bandarbeyla,9.4942,50.8122,24.03,75,91,6.62,SO,1675713634
299,krasnoselkup,65.7,82.4667,-23.33,100,99,1.96,RU,1675713634
300,foumban,5.7291,10.9001,22.41,19,27,1.53,CM,1675713634
301,conakry,9.538,-13.6773,28.04,74,75,3.09,GN,1675713635
302,ostrovnoy,68.0531,39.5131,-5.97,90,100,8.0,RU,1675713635
303,kaitangata,-46.2817,169.8464,16.7,62,17,3.33,NZ,1675713636
304,bara,10.3744,10.7288,27.64,17,100,6.01,NG,1675713238
305,mahebourg,-20.4081,57.7,26.16,83,40,3.09,MU,1675713636
306,sao mateus,-18.7161,-39.8589,28.24,68,0,4.27,BR,1675713637
307,northam,51.0333,-4.2167,4.78,90,29,1.31,GB,1675713638
